GERAÇÃO: 3
PESO TOTAL: 27727
VALOR TOTAL: 28447.0
QUANTIDADE DE ITENS: 536
LISTA DE ITENS (NUMERO, PESO, VALOR):
0, 38, 63
1, 44, 15
2, 93, 24
3, 23, 32
4, 95, 33
5, 17, 39
6, 63, 54
7, 8, 83
8, 80, 42
9, 50, 56
10, 15, 19
11, 20, 49
12, 56, 77
13, 39, 87
14, 11, 87
15, 18, 13
16, 94, 2
17, 23, 98
18, 28, 37
19, 29, 97
20, 17, 32
21, 26, 60
22, 29, 38
23, 26, 80
24, 11, 77
25, 55, 27
26, 73, 42
27, 46, 63
28, 28, 45
29, 93, 89
30, 32, 33
31, 59, 43
32, 89, 97
33, 30, 81
34, 53, 93
35, 77, 13
36, 19, 16
37, 18, 85
38, 27, 31
39, 29, 19
40, 90, 3
41, 41, 89
42, 58, 90
43, 10, 61
44, 47, 22
45, 61, 44
46, 90, 7
47, 43, 60
48, 86, 96
49, 27, 48
50, 67, 88
51, 97, 26
52, 13, 21
53, 65, 82
54, 77, 51
55, 99, 98
56, 2, 6
57, 42, 82
58, 43, 85
59, 35, 6
60, 89, 2
61, 61, 31
62, 81, 36
63, 88, 58
64, 46, 93
65, 20, 85
66, 3, 42
67, 2, 52
68, 15, 5
69, 16, 64
70, 26, 18
71, 86, 89
72, 34, 18
73, 13, 51
74, 32, 34
75, 61, 41
76, 50, 64
77, 5, 4
78, 80, 12
79, 72, 38
80, 95, 18
81, 37, 27
82, 80, 72
83, 11, 50
84, 86, 15
85, 86, 25
86, 57, 66
87, 63, 35
88, 19, 1
89, 72, 89
90, 48, 22
91, 5, 70
92, 39, 30
93, 8, 93
94, 92, 93
95, 30, 84
96, 47, 25
97, 86, 35
98, 29, 30
99, 31, 99
100, 97, 17
101, 38, 57
102, 90, 20
103, 44, 65
104, 26, 81
105, 24, 20
106, 76, 73
107, 33, 83
108, 16, 32
109, 6, 30
110, 59, 55
111, 18, 81
112, 73, 18
113, 70, 63
114, 85, 67
115, 24, 57
116, 90, 49
117, 87, 65
118, 84, 98
119, 27, 52
120, 91, 54
121, 19, 75
122, 84, 37
123, 5, 26
124, 76, 36
125, 21, 28
126, 72, 33
127, 10, 43
128, 38, 35
129, 92, 44
130, 37, 23
131, 34, 62
132, 62, 27
133, 34, 89
134, 23, 53
135, 37, 68
136, 54, 42
137, 32, 90
138, 62, 12
139, 66, 59
140, 80, 83
141, 63, 29
142, 48, 92
143, 48, 86
144, 99, 10
145, 13, 94
146, 40, 21
147, 79, 56
148, 93, 17
149, 31, 75
150, 63, 66
151, 58, 89
152, 83, 57
153, 33, 27
154, 75, 83
155, 75, 25
156, 77, 66
157, 40, 71
158, 57, 51
159, 93, 74
160, 24, 95
161, 47, 88
162, 68, 46
163, 95, 18
164, 60, 66
165, 50, 36
166, 49, 20
167, 95, 38
168, 32, 34
169, 78, 86
170, 55, 27
171, 10, 99
172, 9, 77
173, 13, 67
174, 92, 78
175, 41, 79
176, 36, 55
177, 65, 86
178, 8, 60
179, 25, 47
180, 68, 34
181, 29, 82
182, 4, 83
183, 28, 47
184, 54, 24
185, 8, 30
186, 11, 9
187, 87, 50
188, 91, 94
189, 96, 46
190, 82, 66
191, 78, 75
192, 84, 75
193, 80, 24
194, 79, 90
195, 54, 80
196, 83, 10
197, 95, 43
198, 31, 75
199, 35, 39
200, 24, 47
201, 9, 49
202, 90, 78
203, 24, 51
204, 51, 62
205, 31, 48
206, 86, 10
207, 26, 99
208, 27, 15
209, 76, 58
210, 96, 4
211, 89, 33
212, 99, 55
213, 80, 8
214, 62, 55
215, 22, 44
216, 59, 90
217, 64, 45
218, 63, 97
219, 27, 77
220, 42, 6
221, 65, 57
222, 46, 84
223, 94, 2
224, 79, 50
225, 82, 3
226, 19, 66
227, 97, 94
228, 28, 85
229, 99, 89
230, 17, 49
231, 43, 95
232, 31, 63
233, 98, 22
234, 99, 46
235, 17, 41
236, 67, 44
237, 27, 14
238, 18, 67
239, 90, 36
240, 47, 58
241, 5, 78
242, 24, 25
243, 24, 63
244, 34, 50
245, 65, 60
246, 99, 52
247, 94, 42
248, 88, 91
249, 62, 68
250, 38, 69
251, 91, 98
252, 50, 44
253, 95, 91
254, 33, 37
255, 89, 70
256, 42, 69
257, 37, 94
258, 60, 54
259, 33, 52
260, 23, 29
261, 33, 66
262, 6, 49
263, 74, 44
264, 67, 45
265, 57, 3
266, 11, 79
267, 14, 93
268, 75, 46
269, 92, 27
270, 58, 51
271, 27, 13
272, 95, 78
273, 68, 85
274, 82, 5
275, 21, 88
276, 28, 58
277, 84, 95
278, 56, 9
279, 22, 37
280, 19, 31
281, 96, 8
282, 88, 30
283, 27, 79
284, 50, 85
285, 49, 94
286, 96, 80
287, 17, 20
288, 47, 88
289, 70, 25
290, 1, 50
291, 66, 17
292, 13, 3
293, 96, 30
294, 32, 90
295, 3, 39
296, 74, 26
297, 23, 56
298, 5, 29
299, 73, 41
300, 23, 21
301, 59, 60
302, 50, 65
303, 52, 13
304, 41, 93
305, 65, 82
306, 84, 85
307, 86, 10
308, 73, 21
309, 50, 28
310, 96, 24
311, 92, 86
312, 88, 32
313, 45, 87
314, 60, 44
315, 73, 54
316, 64, 21
317, 7, 87
318, 43, 73
319, 72, 52
320, 52, 64
321, 80, 21
322, 62, 74
323, 84, 98
324, 62, 54
325, 30, 76
326, 98, 53
327, 39, 96
328, 36, 15
329, 77, 94
330, 99, 58
331, 22, 67
332, 23, 92
333, 96, 44
334, 71, 87
335, 21, 96
336, 49, 71
337, 13, 72
338, 71, 75
339, 82, 61
340, 19, 86
341, 63, 36
342, 16, 65
343, 14, 72
344, 56, 21
345, 89, 54
346, 90, 31
347, 14, 12
348, 54, 20
349, 22, 92
350, 55, 78
351, 33, 11
352, 18, 59
353, 4, 47
354, 40, 95
355, 9, 56
356, 3, 12
357, 69, 57
358, 10, 45
359, 42, 92
360, 67, 41
361, 10, 97
362, 92, 23
363, 99, 11
364, 62, 68
365, 28, 14
366, 55, 79
367, 96, 73
368, 21, 53
369, 74, 61
370, 96, 62
371, 87, 91
372, 54, 96
373, 39, 50
374, 34, 7
375, 82, 99
376, 9, 11
377, 41, 82
378, 17, 37
379, 96, 32
380, 60, 79
381, 4, 51
382, 82, 46
383, 52, 94
384, 48, 14
385, 18, 87
386, 97, 51
387, 11, 64
388, 3, 23
389, 4, 21
390, 58, 75
391, 67, 25
392, 63, 69
393, 81, 45
394, 27, 34
395, 16, 90
396, 1, 31
397, 81, 35
398, 83, 66
399, 22, 90
400, 83, 78
401, 51, 23
402, 21, 44
403, 56, 81
404, 3, 20
405, 87, 6
406, 69, 84
407, 98, 84
408, 64, 23
409, 54, 93
410, 97, 57
411, 29, 25
412, 41, 16
413, 7, 62
414, 80, 9
415, 2, 46
416, 33, 44
417, 78, 43
418, 54, 74
419, 92, 69
420, 70, 33
421, 86, 31
422, 78, 93
423, 34, 74
424, 43, 52
425, 84, 84
426, 90, 14
427, 70, 23
428, 46, 67
429, 68, 13
430, 55, 83
431, 97, 9
432, 11, 97
433, 31, 82
434, 57, 41
435, 55, 7
436, 27, 76
437, 2, 72
438, 34, 80
439, 39, 68
440, 66, 90
441, 37, 87
442, 35, 69
443, 55, 75
444, 41, 49
445, 5, 74
446, 17, 44
447, 50, 87
448, 91, 62
449, 83, 18
450, 36, 31
451, 80, 71
452, 15, 40
453, 39, 36
454, 88, 25
455, 2, 39
456, 97, 64
457, 46, 35
458, 11, 6
459, 81, 63
460, 15, 79
461, 84, 56
462, 72, 28
463, 9, 17
464, 92, 47
465, 96, 88
466, 29, 70
467, 19, 56
468, 61, 31
469, 96, 52
470, 31, 25
471, 99, 53
472, 2, 66
473, 64, 7
474, 50, 42
475, 65, 77
476, 28, 9
477, 36, 75
478, 92, 36
479, 80, 4
480, 22, 41
481, 28, 33
482, 15, 88
483, 42, 10
484, 87, 56
485, 57, 43
486, 90, 29
487, 60, 61
488, 66, 34
489, 33, 22
490, 86, 82
491, 25, 42
492, 47, 84
493, 76, 71
494, 47, 70
495, 98, 90
496, 37, 67
497, 9, 96
498, 84, 76
499, 24, 64
500, 87, 58
501, 72, 49
502, 97, 60
503, 84, 96
504, 33, 51
505, 68, 24
506, 73, 68
507, 96, 49
508, 58, 1
509, 28, 45
510, 79, 94
511, 13, 82
512, 54, 96
513, 59, 21
514, 19, 81
515, 4, 42
516, 51, 70
517, 76, 42
518, 71, 49
519, 36, 26
520, 51, 25
521, 90, 25
522, 95, 84
523, 49, 63
524, 36, 47
525, 34, 18
526, 10, 34
527, 8, 11
528, 90, 93
529, 16, 74
530, 89, 80
531, 15, 90
532, 64, 33
533, 10, 71
534, 1, 29
535, 81, 75
